# Israeli stand-up comedians catalog (source lines: "Name — [meta…]")
# Parsed by scripts/buildStandupPhrases.mjs

עידו קציר (Ido Katzir) — [שם במה בלבד במבצעי אתרים — מסווג כסטנדאפ לפי רשימת הבית]

אַבּוּ טַבְּלֶה / יוני שרון (Abu Tabla / Yoni Sharon) — [אַבּוּ טַבְּלֶה | לא צוין | לא צוין | עברית+ערבית | פעיל | אזורי | “אבו טבלה וחברים”, מופע קומי־מוזיקלי; זאפה ולוחות מכירה ארציים | אתר רשמי; itaymeiroffice@gmail.com; 050-469-9459 | פרסונת במה קומית־מוזיקלית שמציגה חיבור בין הומור, מוזיקה וזהות מזרח־תיכונית, עם דף קשר רשמי פעיל.]

אוהד מימרן (Ohad Mimran) — [אוהד מימרן | לא צוין | לא צוין | עברית | פעיל | צומח | מרתוני קומדי בר; סטנדאפ לאירועים | דף אמן/ייצוג ציבורי דרך קומדי בר | מזוהה כאמן ליין־אפ קבוע במרתונים ובחבילות אירועים של קומדי בר.]

אוראל צברי (Orel Tsabari) — [אוראל צברי | לא צוין | לא צוין | עברית | פעיל | אזורי | מופע סטנדאפ אישי; טלוויזיה ותיאטרון | אתר רשמי; מייל להזמנת הופעה באתר | מוכר מהטלוויזיה והרשת, ומקדם מופע סטנדאפ אישי המשלב סיפורים מחייו וחיקויים.]

אודליה יקיר (Odelia Yakir) — [אודליה יקיר | לא צוין | לא צוין | עברית | לא ודאי | צומח | מופיעה ברוסטרים נשיים/עבריים | רוסטר/דף אמן ציבורי | אותרה ברוסטרים עבריים ייעודיים לסטנדאפיסטיות, אך ללא שכבת מידע ביוגרפית עשירה.]

אורן זוזל (Oren Zuzel) — [אורן זוזל | לא צוין | לא צוין | עברית | פעיל | צומח | מופיע ברוסטרי דופק ובמות מועדונים | רוסטר ציבורי; בוקינג ישיר לא אותר | שם צומח שנתפס ברוסטרים של סצנת המועדונים והבידור.]

אורן יאדגר (Oren Yadgar) — [אורן יאדגר | לא צוין | לא צוין | עברית | פעיל | צומח | דף אמן בקומדי בר; מופעי סולו | דף אמן ציבורי בקומדי בר | פרצוף מוכר מסצנת הבית של קומדי בר, עם מופע סטנדאפ סולו פעיל.]

אורי ברויר (Ori Broyer) — [אורי ברויר | לא צוין | לא צוין | עברית | פעיל | אזורי | לוחות הופעות ארציים | כרטיסים ב‑Tickchak/Mevalim | מופיע באופן רציף במוקדי תרבות ברחבי הארץ ונמנה עם שמות הביניים־חזקים בסצנה.]

אורי זוהר (Uri Zohar) — [אורי זוהר | 1935–2022 | לא צוין | עברית | נפטר | ארצי־בולט היסטורי | סטנדאפ, קולנוע ובידור ישראלי קלאסי | לא רלוונטי | דמות יסוד בתרבות הישראלית, שהוגדרה במפורש גם כסטנדאפיסט; בהמשך חדל מעולם הבידור.]

אורי חזקיה (Ori Hizkiah) — [אורי חזקיה | לא צוין | לא צוין | עברית | פעיל | ארצי־בולט | מופעי סטנדאפ ארציים | דפי כרטיסים ב‑Comy/Tickchak/Mevalim | אחד הקומיקאים האהובים והמצליחים בישראל, עם סבב הופעות ארצי עקבי לאורך 2026.]

אורי צייטלין (Uri Zeitlin) — [אורי צייטלין | לא צוין | לא צוין | עברית | פעיל | צומח | דף אמן בקומדי בר; רוסטר דופק | דף אמן/בוקינג דרך קומדי בר | קומיקאי פעיל בסבב המועדונים, מופיע בדפי אמן ציבוריים ובאתרי רוסטר ישראליים.]

אורנה בנאי (Orna Banai) — [אורנה בנאי | לא צוין במקורות שנאספו כאן | באר שבע מוזכרת כתחנת ילדות במופע | עברית | פעילה | אזורי | מופע סטנדאפ אישי חדש | לוחות כרטיסים ב‑Comy/Mevalim | מקדמת בשנים האחרונות מופע אישי־קומי שמחבר בין סיפור חיים, משפחה, יציאה מהארון והומור.]

אייל רוזנברג (Ayal Rosenberg) — [אייל רוזנברג | לא צוין | לא צוין | עברית | פעיל | צומח | מרתוני קומדי בר; רוסטר דופק | בוקינג דרך קומדי בר/רוסטרים | שם קבוע יחסית במרתוני קומדי בר וברוסטרים של הסטנדאפ הישראלי.]

אלדד שטרית (Eldad Shitrit) — [אלדד שטרית | לא צוין | “ישראלי שגדל בארה״ב” | עברית+אנגלית משוערת | פעיל | נישתי | מופע אישי; מנחה קורס בבית ספר לסטנדאפ של קומדי בר | דף אמן ציבורי בקומדי בר | מופיע זה שנים כ”אמן בית” בקומדי בר, עם חומרים על דת, משפחה, ישיבה וחיים בין ישראל לארה״ב.]

אלי גלפרין (Eli Galperin), אליהו ברוך (Eliyahu Baruch), אלעד דוד (Elad David), אלעד צפני (Elad Tzafni), עמי אנידג׳ר (Ami Anidjer), אמיר מויאל (Amir Moyal), אריאל ויסמן (Ariel Weisman) — [שם במה: לא צוין | לידה/גיל: לא צוין | עיר: לא צוין | שפה: עברית משוערת | סטטוס: לא ודאי/לא צוין | מוכרות: לא ידוע/נישתי | עבודות/במות: רוסטרים/קטגוריה | קשר: לא אותר | מידע דל; זוהו במקורות ישראליים ציבוריים אך ללא כרטיס ביוגרפי עדכני עשיר.]

אלי חביב (Eli Haviv) — [אלי חביב | לא צוין | לא צוין | עברית | פעיל | צומח | מופע חדש; צוותא והופעות בפריסה ארצית | אתר רשמי; info@hollander.co.il; 077-8840203 | מקדם מופע חדש עם אתר עצמאי פעיל ולוח הופעות ציבורי מהצפון עד המרכז.]

אלי יצפאן (Eli Yatzpan) — [אלי יצפאן | לא צוין | לא צוין | עברית | פעיל | ארצי־בולט | מופעי בידור/סטנדאפ בלוחות ארציים | לוחות כרטיסים ורוסטרים | שם ותיק מאוד בבידור הישראלי, שממשיך להופיע גם במסגרות סטנדאפ/בידור חיות.]

אלעד גלעדי (Elad Giladi) — [אלעד גלעדי | לא צוין | לא צוין | עברית | פעיל | צומח | מופע סטנדאפ בסטנד־אפ פקטורי | דף אמן ציבורי בסטנד־אפ פקטורי | דוגמה מובהקת לשם צומח של סצנת המועדונים, עם סדרת תאריכים רציפה באביב 2026.]

אמיר הורוביץ (Amir Horowitz) — [אמיר הורוביץ | לא צוין | לא צוין | עברית | פעיל | צומח | מרתוני קומדי בר; רוסטר דופק | בוקינג דרך קומדי בר/רוסטר | מופיע באופן עקבי כחלק ממערכי הבית של קומדי בר ובאתרי רוסטר ישראליים.]

אמירם טובים (Amiram Tovim) — [אמירם טובים | לא צוין | לא צוין | עברית | פעיל | אזורי | מרתוני קומדי בר; הופעות ברחבי הארץ | דפי כרטיסים/קומדי בר | מהשמות הפעילים והמבוקשים בליינאפים ארציים ובמופעי מועדון.]

אסף יצחקי (Assaf Itzhaki) — [אסף יצחקי | לא צוין | לא צוין | עברית | פעיל | אזורי | אמן בית בסטנד־אפ פקטורי; מופעי סטנדאפ ברחבי הארץ | דפי כרטיסים/הופעות בסטנד־אפ פקטורי | שייך לדור המועדונים היציב, עם נוכחות עקבית בליינאפים ובמועדי הופעות.]

אסף מור יוסף (Assaf Mor Yosef) — [אסף מור יוסף | לא צוין | לא צוין | עברית | פעיל | אזורי | אמן בית בסטנד־אפ פקטורי; סיבובי במה | ליינאפים ציבוריים במועדונים | שמו חוזר בליינאפים מרכזיים של סטנד־אפ פקטורי ובסקירות על דור הביניים־החדש.]

ארז בירנבוים (Erez Birenboim) — [ארז בירנבוים | לא צוין | לא צוין | עברית | פעיל | אזורי | אמן בית בסטנד־אפ פקטורי; מופעי סולו | דפי אמן/כרטיסים במועדון וב‑Comy | שחקן מרכזי יחסית בסצנת המועדונים, עם הופעות סולו וחשיפה קבועה בסטנד־אפ פקטורי.]

בן בן־ברוך (Ben Ben Baruch) — [בן בן־ברוך | לא צוין | לא צוין | עברית | פעיל | אזורי | מופעי סטנדאפ; אמן בית בסטנד־אפ פקטורי | כרטיסים ב‑Comy/ליין־אפים במועדון | מופיע תדיר במרכז הארץ ונחשב לשם מבוסס בדור הביניים של הסצנה.]

בבר יוקו (Babar Yoko), בני ברוכים (Beni Bruchim) — [שם במה: לפי הרשום | לידה/גיל: לא צוין | עיר: לא צוין | שפה: עברית | סטטוס: בני ברוכים פעיל; בבר יוקו לא צוין | מוכרות: אזורי/לא ידוע | עבודות/במות: ליינאפים/קטגוריה | קשר: לא אותר | שמות מוכרים במאגרי הסטנדאפ הציבוריים; לגבי בבר יוקו המידע העדכני דל יותר.]

גברת רביע / דניאל קישינובסקי (Gveret Rabia / Daniel Kishinovsky) — [גברת רביע | לא צוין | לא צוין | עברית | פעיל | אזורי | “טיפול זוגי 5:55”, מופע מאולתר המבוסס על זוגות מהקהל | אתר רשמי לכרטיסים; רשימות המתנה; וואטסאפ/מדיה באתר | דמות קאלט בימתית שמגולמת בידי דניאל קישינובסקי ומחברת קומדיה, אימפרוביזציה ועולם הייעוץ הזוגי.]

גדי וילצ׳רסקי (Gadi Wilchersky) — [גדי וילצ׳רסקי | לא צוין | לא צוין | עברית | פעיל | אזורי | אמן בית בסטנד־אפ פקטורי | ליינאפים ציבוריים במועדון | מזוהה היטב עם דור הקומיקאים־פרפורמרים של מועדוני תל אביב.]

גורי אלפי (Guri Alfi) — [גורי אלפי | לא צוין | לא צוין | עברית | פעיל | ארצי־בולט | סטנדאפ והופעות ארציות | לוחות כרטיסים/רוסטרים | שם מרכזי בתרבות הקומית הישראלית, עם נוכחות במה מתמשכת גם בשנים האחרונות.]

גיא אדלר (Guy Adler) — [גיא אדלר | לא צוין | “רמת אביב” מופיע בביוגרפיה ציבורית | עברית | פעיל | נישתי | מופע סולו; כתיבה לטלוויזיה | לוח הופעות ציבורי ב‑Mevalim | קומיקאי ותסריטאי שפועל גם על הבמה וגם מאחורי הקלעים של סאטירה טלוויזיונית.]

גיא הוכמן (Guy Hochman) — [גיא הוכמן | לא צוין | לא צוין | עברית | פעיל | ארצי־בולט | סטנדאפ/רשת/במות גדולות | אינדקסים ולוחות הופעות ציבוריים | כוכב־רשת שעבר היטב גם למופעי במה ותויג באינדקסים כמופיע בקטגוריית סטנדאפ.]

גיא ראובן (Guy Reuven) — [גיא ראובן | לא צוין | לא צוין | עברית+אנגלית | פעיל | צומח | קטעי open mic באנגלית; רוסטרי סטנדאפ | דפי אמן/ווידאו ברשת; בוקינג ישיר לא אותר | נוכח בסצנת ה‑open mic באנגלית וגם ברוסטרים של סטנדאפ ישראלי בכלל.]

גיה באר־גורביץ׳ (Gia Bar-Gurevitch), גלית חוגי (Galit Hugi) — [לא צוין | לא צוין | לא צוין | עברית משוערת | לא צוין | לא ידוע/נישתי | קטגוריה/רוסטרים | לא אותר | שתיהן מזוהות במאגרים עבריים כקומיקאיות/סטנדאפיסטיות, אך לא נמצאו פרטים פומביים עדכניים מספקים לשכבה מלאה.]

גיורא זינגר (Giora Zinger) — [גיורא זינגר | לא צוין | לא צוין | עברית | פעיל | אזורי | אמן בית בסטנד־אפ פקטורי | ליינאפים ציבוריים במועדון | חלק מדור האמנים הקבוע של מועדוני הסטנדאפ בתל אביב.]

גידי ליבנה (Gidi Livne) — [גידי ליבנה | לא צוין | לא צוין | עברית | פעיל | נישתי | סטנדאפ+אמן חושים; מופיע בקאמל ובסטנד־אפ פקטורי | אתר אישי/דפי הפקה ציבוריים | משלב סטנדאפ עם אמן־חושים, ובמקורותיו הוא מגדיר את עצמו כסטנדאפיסט פעיל זה שנים.]

גיל קופטש (Gil Kopatch) — [גיל קופטש | לא צוין | לא צוין | עברית | פעיל/לא ודאי נקודתית | נישתי | רוסטרים, מועדונים ובמות | ליינאפים/אינדקסים ציבוריים | מהדמויות המוכרות של ההומור הטקסטואלי בישראל; בחיפוש הנוכחי לא עלה דף הופעות רשמי עשיר.]

גיתית פישר (Gitit Fischer) — [גיתית פישר | לא צוין | לא צוין | עברית | פעילה | אזורי | דפי אמן ורוסטרים; סטנדאפ בקטגוריות הארציות | דפי אמן/כרטיסים ציבוריים | סטנדאפיסטית ושחקנית שמופיעה באופן רציף בדפי האמן העבריים הפעילים.]

דודו ארז (Dudu Erez) — [דודו ארז | לא צוין | לא צוין | עברית | פעיל | אזורי | אמן בית בסטנד־אפ פקטורי; מופעי יחיד | ליינאפים ציבוריים במועדון | אחד השמות המזוהים עם המועדונים התל־אביביים וסטנדאפ כתוב/חד.]

דודו דותן (Dudu Dotan) — [דודו דותן | 1949–2001 | לא צוין | עברית | נפטר | ארצי־בולט היסטורי | בידור, סטנדאפ ותרבות פופולרית ישראלית | לא רלוונטי | דמות בידור מרכזית מהדור הוותיק, שזוהתה גם כקומיקאי/סטנדאפיסט במסורת הבידור המקומית.]

דניאל אסייג (Daniel Assayag), דודי ארבלי (Dudi Arbeli), דותן רביד (Dotan Ravid) — [לא צוין | לא צוין | לא צוין | עברית משוערת | דניאל אסייג לא צוין; דותן רביד פעיל; דודי ארבלי לא צוין | נישתי/צומח | ליינאפים/קטגוריה/רוסטר | לדותן רביד: מופיע ברוסטרי קומדי בר; לאחרים לא אותר בוקינג עשיר | שמות מוכרים בסצנת הבידור והסטנדאפ, אך שכבת המידע הציבורית אינה אחידה.]

דניאל חן (Daniel Chen) — [דניאל חן | לא צוין | לא צוין | עברית | פעיל | אזורי | בדיקות חומרים, מופעי מועדון, לוחות 2026 | כרטיסים בסטנד־אפ פקטורי/לוחות הופעות | שחקן קבוע מאוד בסצנת המועדונים, עם דפוס הופעות רציף לאורך 2026.]

דניאל כהן (Daniel Cohen) — [דניאל כהן | לא צוין | לא צוין | עברית | פעיל | ארצי־בולט | “ערב סביר”; כוכב רשת; קומדי בר; “מה שתגידו” | אתר רשמי; ייצוג ד. פרידמן הפקות; 03-5607075 | אחד השמות הבולטים בגל החדש, עם שילוב של וידאו־רשת, טלוויזיה והופעות במה צפופות ברחבי הארץ.]

דניאל סטיופין (Daniel Styopin) — [דניאל סטיופין | לא צוין | ילדות באוקראינה מוזכרת במופע | עברית | פעיל | אזורי | מופע סטנדאפ סביב סיפור חייו ו”קופה ראשית” | אתר רשמי; אלין 054-3060211; sigma2.talents@gmail.com | שחקן־קומיקאי שתרגם חשיפה טלוויזיונית למופע סטנדאפ רגשי־תיאטרלי עם סבב הופעות 2026.]

הדר לוי (Hadar Levi) — [הדר לוי | לא צוין | לא צוין | עברית | פעילה | אזורי | מופעי סטנדאפ; גם מסלול ילדים | אתר אישי/Leaan/Mevalim | אחת הקומיקאיות הפעילות, עם מסלולי מופעים למבוגרים וגם פורמט מותאם לילדים.]

הדר גלרון (Hadar Galron), חי דוידוב (Hai Davidov), טליה ברטפלד (Talia Bartfeld) — [לא צוין | לא צוין | לא צוין | עברית משוערת | לא צוין | לא ידוע/נישתי | קטגוריה/רוסטרים | לא אותר | שמות שנוכחים במאגרים עבריים של סטנדאפ אך עם מעט מאוד חומר ציבורי עדכני.]

חיים אלמקיס (Haim Elmakies) — [חיים אלמקיס | לא צוין | לא צוין | עברית | לא צוין | נישתי | קטגוריה/רוסטרים | לא אותר | מזוהה כסטנדאפיסט ישראלי במאגרי הסקירה שנבדקו, אך שכבת הפרטים דלה.]

חן מזרחי (Chen Mizrahi) — [חן מזרחי | לא צוין | לא צוין | עברית | פעיל | אזורי | מופעי סטנדאפ ארציים | לוחות הופעות ארציים | מהשמות המבוססים בסצנת הבידור־סטנדאפ הדתית/עממית והארצית.]

חנוך דאום (Hanoch Daum) — [חנוך דאום | לא צוין | לא צוין | עברית | פעיל | אזורי | מופעי בידור/סטנדאפ; מופעי יחיד | אינדקסי סטנדאפ ציבוריים | נוכח באינדקסים הארציים כאמן סטנדאפ ובידור פעיל עם קהל נאמן מאוד.]

טל פרידמן (Tal Friedman) — [טל פרידמן | לא צוין | לא צוין | עברית | פעיל/לא ודאי נקודתית | אזורי | אינדקסי סטנדאפ ורוסטרים | לא אותר דף רשמי עשיר בחיפוש הנוכחי | קומיקאי ותיק ומוכר שממשיך להופיע במסגרות בידור וסטנדאפ.]

טל סולומון (Tal Solomon) — [טל סולומון | לא צוין | לא צוין | עברית | פעיל | נישתי | רוסטרי סטנדאפ ופרויקטי תוכן | רוסטרים/ווידאו ציבוריים | פעיל בסצנת הבמה והווידאו הקומית, עם נוכחות ציבורית מתועדת.]

יאיר אורבך (Yair Orbach) — [יאיר אורבך | לא צוין | לא צוין | עברית | לא צוין | נישתי | קטגוריה/רוסטרים | לא אותר | מזוהה במאגרים הישראליים כסטנדאפיסט/קומיקאי, עם שכבת מידע ציבורית נקודתית בלבד.]

יובל סמו (Yuval Samo) — [יובל סמו | לא צוין | לא צוין | עברית | פעיל | ארצי־בולט | מופעי בידור/סטנדאפ; לוחות ארציים | אינדקסים ולוחות הופעות | מהשמות המבוססים ביותר בקומדיה הישראלית, עם המשך הופעות על הבמה.]

יוחאי ספונדר (Yohay Sponder) — [יוחאי ספונדר | לא צוין | לא צוין | עברית+אנגלית | פעיל | אזורי | מופעי עברית וסטנדאפ באנגלית | לוחות כרטיסים ב‑Tickchak/Mevalim | קומיקאי פעיל מאוד שמופיע גם בעברית וגם באנגלית, בארץ ובפורמטים של After Dark.]

יונתן ברק (Yonatan Barak) — [יונתן ברק | 1983 | לא צוין במקור הנוכחי | עברית | פעיל | ארצי־בולט | מופעי סטנדאפ מלאים; מסורת העלאת מופעים ליוטיוב | לוחות הופעות ציבוריים | מהקולות הבולטים בסטנדאפ הכתוב־המספר של העשור האחרון, עם מסלול עצמאי מובהק וקהל חזק.]

יונתן גרובר (Yonathan Gruver) — [יונתן גרובר | לא צוין | אפרת | עברית | פעיל | צומח | “זה מה יש”; מופעי סולו בכמה ערים | דפי אמן/כרטיסים ב‑Tickchak | קומיקאי, יוצר ושחקן שהגיע מהרשת והאימפרוביזציה אל מופע סטנדאפ אישי על דת, זוגיות, צבא ואבהות.]

יוסי גבני (Yossi Gabni) — [יוסי גבני | לא צוין | לא צוין | עברית | פעיל | אזורי | אמן בית בסטנד־אפ פקטורי | ליינאפים ציבוריים במועדון | אחד השמות היציבים בדור המועדונים של תל אביב.]

יוסי טרבלוס (Yossi Tarablus) — [יוסי טרבלוס | לא צוין | לא צוין | עברית+אנגלית | פעיל | נישתי | מופעי עברית; קטעי סטנדאפ באנגלית; מרתוני קומדי בר | דף אמן ציבורי וקומדי בר | מופיע גם בסצנה העברית וגם ב‑open mic/חומרים באנגלית, מה שהופך אותו לשם דו־לשוני מעניין.]

יוסי פנסו (Yossi Penso) — [יוסי פנסו | לא צוין | לא צוין | עברית | פעיל | צומח | מרתוני קומדי בר; רוסטר דופק | בוקינג דרך קומדי בר/רוסטרים | שם שמופיע באופן עקבי במרתונים ובאתרי רוסטר ישראליים.]

יוסי צברי (Yossi Tzabari) — [יוסי צברי | לא צוין | לא צוין | עברית | לא ודאי/פעיל נקודתית | נישתי | קטגוריה/אינדקסים | לא אותר | מזוהה במאגרים כקומיקאי וסטנדאפיסט, אך ללא דף הופעות עדכני עשיר שנמצא בחיפוש הזה.]

ישראל קטורזה (Israel Katorza) — [ישראל קטורזה | לא צוין | לא צוין | עברית | פעיל | ארצי־בולט | סיבובי סטנדאפ ארציים; לוחות 2026 | Tickchak/Mevalim/פייסבוק ציבורי | ממשיך למלא אולמות במאי–יולי 2026 ונשאר אחד האייקונים היציבים של הסטנדאפ הישראלי.]

יונה קפח (Yona Kapach) — [יונה קפח | לא צוין | לא צוין | עברית | לא צוין/פעילה | נישתי | רוסטרי סטנדאפיסטיות ואינדקסים | לא אותר | מופיעה במקורות עבריים כסטנדאפיסטית ישראלית, עם מידע ציבורי צנוע.]

יעל לבנטל (Yael Levental) — [יעל לבנטל | לא צוין | לא צוין | עברית | לא ודאי/פעילה נקודתית | נישתי | רוסטרי סטנדאפיסטיות | לא אותר | מזוהה בדפי הרוסטרים כסטנדאפיסטית/קומיקאית, אף שהחיפוש הנוכחי לא העלה דף הופעות עמוס.]

יעקב כהן (Yaakov Cohen) — [יעקב כהן | לא צוין | לא צוין | עברית | לא צוין/פעיל נקודתית | אזורי | אינדקסי סטנדאפ עבריים | לא אותר | שם ותיק בזירת הקומדיה והסטנדאפ, עם נוכחות מובהקת במאגרים העבריים.]

יואב כהן (Yoav Cohen), יוני שרון (Yoni Sharon), יורם טהרלב (Yoram Taharlev) — [לא צוין | ליורם טהרלב: 1938–2022 | לא צוין | עברית | ליורם טהרלב: נפטר; לאחרים: לא צוין | נישתי/היסטורי | קטגוריה/אינדקסים | לא אותר | יואב כהן מזוהה במאגרים כסטנדאפיסט; יוני שרון נספר בעיקר דרך פרסונת אבו טבלה; יורם טהרלב הוגדר במפורש גם כסטנדאפיסט והיה דמות תרבות ענקית.]

לאה לב (Leah Lev) — [לאה לב | לא צוין | לא צוין | עברית | פעילה | אזורי | מופעי סטנדאפ; ליינאפים של קאמל/סטנד־אפ פקטורי | Mevalim וליינאפים ציבוריים | קומיקאית פעילה ומוכרת בסצנת המועדונים, עם זיהוי גבוה אצל קהל הסטנדאפ העירוני.]

ליה רוזנפלד (Lia Rosenfeld) — [ליה רוזנפלד | לא צוין | לא צוין | עברית | פעילה | צומח | הופעה מלאה; קאמל; רוסטים לאירועים | אתר רשמי; טופס הזמנות; אינסטגרם/פייסבוק/טיקטוק/יוטיוב | “מהדור הבא של הסטנדאפיסטים בישראל”, עם מיתוג חד, רוסטרית, מופעים מלאים וערוץ הזמנות מסודר.]

ליאור דובדבני (Lior Duvdevani) — [ליאור דובדבני | לא צוין | לא צוין | עברית | פעיל | אזורי | מופע סולו לאחר שנים בצמד “דובדבני וקובץ׳” | דף אמן בקומדי בר/רוסטרים | מעבר מעניין של איש־צמד ותיק למופע סטנדאפ אישי עצמאי.]

ליאור רום (Lior Rom) — [ליאור רום | לא צוין | תל אביב מוזכרת כזירת התחלה | עברית+אנגלית | פעיל | צומח | סטנדאפ בעברית; English standup; open mics באנגלית | אינסטגרם ציבורי עם “עברית / English standup” וטלפון להזמנות | קומיקאי פעיל בסצנה הדו־לשונית, עם נוכחות דיגיטלית ברורה והשתתפות ב‑open mic באנגלית.]

ליאור שמש (Lior Shemesh) — [ליאור שמש | לא צוין | לא צוין | עברית | פעיל | צומח | דפי אמן בקומדי בר | בוקינג דרך קומדי בר | שחקן/קומיקאי שמופיע כיום גם כדמות סטנדאפיסטית מזוהה במועדון.]

ליעוז כהן (Lioz Cohen), ליטל שוורץ (Lital Schwartz) — [לא צוין | לא צוין | לא צוין | עברית | ליטל פעילה/לא ודאי; ליעוז פעיל | נישתי/צומח | רוסטרים/מרתוני קומדי בר | ליעוז דרך קומדי בר/דופק; ליטל דרך אינדקסים | ליעוז כהן הוא שם מועדונים צומח; ליטל שוורץ היא שם מבוסס יותר אך בחיפוש זה לא נאסף עבורה דף רשמי עשיר.]

לירון רומנו (Liron Romano) — [לירון רומנו | לא צוין | לא צוין | עברית | פעיל | צומח | דף אמן/מרתונים בקומדי בר | בוקינג דרך קומדי בר | מופיעה ברוסטרים ובדפי האמן של קומדי בר כקומיקאית/סטנדאפיסטית פעילה.]

מאי סייג (Mai Saig) — [מאי סייג | לא צוין | לא צוין | עברית | פעילה | צומח | דופק; קומדי בר; רוסטרי סטנדאפיסטיות | דפי רוסטר/בוקינג ציבוריים | אחת השמות הצומחים שנוכחים גם ברוסטרים נשיים וגם בדפי מועדון.]

מוחמד נעמה (Muhammad Naama) — [מוחמד נעמה | לא צוין | לא צוין | ערבית+עברית | פעיל | נישתי | מופעי סטנדאפ בערבית; קומדי בר; ד. פרידמן הפקות | אתר רשמי; קומדי בר | סטנדאפיסט שמציע במפורש גם מופעים בערבית ומופיע במסגרות מיינסטרים עבריות, ולכן הוא מקרה דו־לשוני חשוב.]

מוטי אהרונוביץ (Moty Aharonovitch) — [מוטי אהרונוביץ | לא צוין | לא צוין | עברית | פעיל | אזורי | מופע סולו; כתיבה לטלוויזיה; יוצר רשת | אתר רשמי; 050-7950350; פייסבוק/אינסטגרם/יוטיוב/טיקטוק | מהשמות הפעילים והפוריים יותר של השנים האחרונות, עם נכסים דיגיטליים חזקים מאוד לצד הופעות חיות.]

מור חן (Mor Chen) — [מור חן | לא צוין | לא צוין | עברית | פעילה/לא ודאי נקודתית | נישתי | אינדקסי סטנדאפ ורוסטרי נשים | לא אותר | מזוהה בדפי הרוסטרים כאחת הקומיקאיות הישראליות הפעילות.]

מרינה אקילוב (Marina Akilov) — [מרינה אקילוב | לא צוין | לא צוין | עברית | פעילה | צומח | אמן בית בסטנד־אפ פקטורי; ליינאפים שונים | ליינאפים ציבוריים במועדון | קומיקאית פעילה בסצנת המועדונים של תל אביב.]

מיכאל הנגבי (Michael Hangbi) — [מיכאל הנגבי | לא צוין | לא צוין | עברית | פעיל | צומח | אמן בית בסטנד־אפ פקטורי; ליינאפים קבועים | דפי כרטיסים/ליינאפים במועדון | שם שחוזר שוב ושוב בליינאפים של פקטורי ובסופי־שבוע של המועדון.]

